Continent,Country_Territory,Per_Cap_GDP_Nom_Dollars
Asia, Macau,77111
Asia, Hong Kong,46080
Europe, Luxembourg,105863
Europe,  Switzerland,80637
Europe, Norway,75389
Europe, Iceland,70248
Europe, Ireland,68710
Asia, Qatar,61024
North_America, United States,59792
Asia, Singapore,57713
Europe, Denmark,56630
Europe, Australia,55692
Europe, Sweden,52925
Europe, Netherlands,48555
Europe, San Marino,47595
Europe, Austria,47347
Europe, Finland,45927
North_America, Canada,45094
Europe, Germany,44769
Europe, Belgium,43488
Oceania, New Zealand,41572
Asia, Israel,40272
Europe, France,39932
Europe, United Kingdom,39800
Asia, Japan,38448
Asia, United Arab Emirates,37732
Europe, Italy,31996
North_America, Bahamas,31660
Asia, South Korea,29938
Europe, Spain,28358
Asia, Brunei,28278
Asia, Kuwait,27393
Europe, Malta,27326
Europe, Cyprus,25380
Asia, Bahrain,24325
Asia, Taiwan,24292
Europe, Slovenia,23654
Europe, Portugal,21158
Asia, Saudi Arabia,21096
Europe, Czech Republic,20401
Europe, Estonia,19735
Europe, Greece,18637
North_America, Barbados,17757
Europe, Slovakia,17655
North_America, Saint Kitts and Nevis,17397
Asia, Oman,17128
South_America, Uruguay,16941
Europe, Lithuania,16730
North_America, Antigua and Barbuda,16702
North_America, Trinidad and Tobago,16637
Oceania, Palau,15980
Africa, Seychelles,15859
Europe, Latvia,15550
North_America, Panama,15089
South_America, Chile,15067
Africa, Equatorial Guinea,14817
South_America, Argentina,14462
Europe, Hungary,14209
Europe, Poland,13821
Europe, Croatia,13271
Asia, Maldives,12527
Asia, Lebanon,12013
North_America, Costa Rica,11728
Europe, Russia,10955
Europe, Romania,10785
Asia, Turkey,10537
Africa, Mauritius,10504
North_America, Grenada,10405
South_America, Brazil,9895
Asia, Malaysia,9755
North_America, Saint Lucia,9606
North_America, Mexico,9318
Asia, Kazakhstan,8762
Asia, China,8643
Oceania, Nauru,8574
Europe, Bulgaria,8077
North_America, Dominica,7879
Europe, Montenegro,7678
Africa, Botswana,7584
North_America, Dominican Republic,7477
Africa, Gabon,7373
North_America, Saint Vincent and the Grenadines,7124
South_America, Venezuela,6890
South_America, Peru,6731
Asia, Turkmenistan,6642
Asia, Thailand,6590
South_America, Colombia,6379
South_America, Ecuador,6216
Africa, South Africa,6179
Europe, Serbia,5901
South_America, Suriname,5869
Europe, Belarus,5727
South_America, Paraguay,5600
Africa, Namibia,5589
Oceania, Fiji,5527
Europe, Macedonia,5474
Asia, Iran,5289
North_America, Jamaica,5193
Europe, Bosnia and Herzegovina,5180
Asia, Iraq,4950
North_America, Belize,4806
Africa, Libya,4739
South_America, Guyana,4578
Europe, Albania,4544
Oceania, Tonga,4520
North_America, Guatemala,4469
Africa, Angola,4465
Oceania, Samoa,4258
Asia, Azerbaijan,4140
Asia, Jordan,4135
Asia, Georgia,4085
Asia, Sri Lanka,4073
Africa, Algeria,4033
Europe, Kosovo,3944
Africa, Swaziland,3915
North_America, El Salvador,3894
Asia, Indonesia,3876
Asia, Armenia,3861
Asia, Mongolia,3640
Oceania, Tuvalu,3638
Oceania, Marshall Islands,3625
Africa, Tunisia,3496
South_America, Bolivia,3353
Africa, Cape Verde,3238
Oceania, Micronesia,3200
Africa, Morocco,3151
Oceania, Vanuatu,3094
Asia, Philippines,2976
Asia, Bhutan,2903
Oceania, Papua New Guinea,2861
North_America, Honduras,2766
Europe, Ukraine,2583
Asia, Laos,2542
Africa, Egypt,2501
Asia, Vietnam,2354
Europe, Moldova,2280
North_America, Nicaragua,2207
Asia, East Timor,2104
Oceania, Solomon Islands,2081
Africa, Nigeria,1994
Africa, Djibouti,1989
Asia, India,1983
Africa, Republic of the Congo,1958
Africa, São Tomé and Príncipe,1785
Africa, Kiribati,1721
Africa, Kenya,1702
Africa, Ghana,1663
Africa, Côte d'Ivoire,1617
Asia, Bangladesh,1602
Asia, Pakistan,1541
Asia, Uzbekistan,1491
Africa, Zambia,1480
Africa, Sudan,1428
Africa, Lesotho,1425
Africa, Cameroon,1401
Asia, Cambodia,1390
Africa, Mauritania,1318
Asia, Myanmar,1264
Africa, Zimbabwe,1176
Asia, Kyrgyzstan,1144
Africa, Senegal,1038
Africa, Tanzania,1034
Africa, Eritrea,980
Africa, Ethiopia,873
Asia,   Nepal,834
Africa, Benin,830
Asia, Tajikistan,824
Africa, Mali,811
Africa, Chad,810
Africa, Guinea-Bissau,794
Africa, Comoros,788
North_America, Haiti,784
Africa, Rwanda,772
South_America, Guinea,749
Africa, Liberia,729
Africa, Uganda,699
Africa, Burkina Faso,664
Africa, Togo,611
Asia, Afghanistan,588
Asia, Yemen,551
Africa, Sierra Leone,491
Africa," Gambia, The",480
Africa, Democratic Republic of the Congo,478
Africa, Madagascar,448
Africa, Niger,440
Africa, Mozambique,429
Africa, Central African Republic,387
Africa, Malawi,324
Africa, Burundi,312
Africa, South Sudan,228
